Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-11983,Pump,624.01,130.92,258.79
Pump-11984,Pump,544.25,83.1,167.5
Valve-11985,Valve,895.96,40.01,279.14
Valve-11986,Valve,63.46,58.72,344.83
Heat Exchanger-11987,Heat Exchanger,885.61,178.66,269.33
Heat Exchanger-11988,Heat Exchanger,275.1,174.47,85.25
Distillation Column-11989,Distillation Column,123.93,143.22,46.3
Compressor-11990,Compressor,916.83,9.78,177.76
Compressor-11991,Compressor,498.72,7.52,387.91
Compressor-11992,Compressor,666.83,100.17,132.32
Storage Tank-11993,Storage Tank,564.05,109.76,266.58
Pump-11994,Pump,100.68,49.55,27.61
Distillation Column-11995,Distillation Column,395.37,116.25,64.31
Reactor-11996,Reactor,372.0,53.72,379.11
Valve-11997,Valve,730.76,88.39,71.51
Distillation Column-11998,Distillation Column,979.8,194.64,141.25
Valve-11999,Valve,424.32,157.74,283.65
Reactor-12000,Reactor,560.51,14.77,234.08
Reactor-12001,Reactor,828.34,82.4,95.13
Valve-12002,Valve,649.86,189.28,73.03
Pump-12003,Pump,882.31,184.68,462.71
Compressor-12004,Compressor,753.63,58.1,140.48
Storage Tank-12005,Storage Tank,417.57,185.92,32.17
Distillation Column-12006,Distillation Column,860.88,105.85,467.72
Compressor-12007,Compressor,22.57,29.77,112.72
Heat Exchanger-12008,Heat Exchanger,896.17,142.72,357.34
Heat Exchanger-12009,Heat Exchanger,7.11,99.64,498.83
Distillation Column-12010,Distillation Column,718.43,10.85,129.31
Valve-12011,Valve,88.43,185.94,361.69
Reactor-12012,Reactor,597.99,112.01,189.6
Reactor-12013,Reactor,466.6,60.33,359.69
Distillation Column-12014,Distillation Column,949.59,15.75,320.19
Valve-12015,Valve,415.12,140.02,251.56
Valve-12016,Valve,616.89,80.59,122.63
Reactor-12017,Reactor,518.64,77.59,401.12
Reactor-12018,Reactor,592.08,143.91,292.0
Pump-12019,Pump,954.13,6.64,181.67
Compressor-12020,Compressor,358.44,39.49,347.81
Valve-12021,Valve,606.36,113.36,135.82
Pump-12022,Pump,784.98,152.33,135.74
Compressor-12023,Compressor,872.01,40.79,370.85
Heat Exchanger-12024,Heat Exchanger,880.47,119.5,159.16
Pump-12025,Pump,188.8,105.65,206.86
Pump-12026,Pump,662.3,20.06,360.8
Reactor-12027,Reactor,514.83,112.18,217.89
Storage Tank-12028,Storage Tank,7.73,157.34,194.81
Storage Tank-12029,Storage Tank,819.42,132.77,302.91
Heat Exchanger-12030,Heat Exchanger,861.91,163.2,486.39
Reactor-12031,Reactor,817.06,84.42,67.39
Valve-12032,Valve,372.75,103.84,36.21
Distillation Column-12033,Distillation Column,434.76,98.6,236.92
Reactor-12034,Reactor,662.47,114.89,205.26
Compressor-12035,Compressor,490.86,105.97,162.68
Distillation Column-12036,Distillation Column,714.11,79.33,214.11
Compressor-12037,Compressor,337.69,89.03,418.94
Compressor-12038,Compressor,832.36,194.19,373.32
Valve-12039,Valve,994.02,36.93,184.23
Valve-12040,Valve,208.44,80.71,354.09
Compressor-12041,Compressor,939.61,87.15,321.35
Pump-12042,Pump,261.98,194.37,329.22
Storage Tank-12043,Storage Tank,687.24,68.11,293.51
Valve-12044,Valve,687.3,143.95,223.95
Storage Tank-12045,Storage Tank,771.95,60.46,459.67
Compressor-12046,Compressor,325.52,145.81,449.24
Heat Exchanger-12047,Heat Exchanger,601.75,37.77,407.79
Storage Tank-12048,Storage Tank,310.59,26.03,64.39
Storage Tank-12049,Storage Tank,482.28,7.22,90.92
Valve-12050,Valve,330.18,120.05,220.48
Distillation Column-12051,Distillation Column,528.16,77.32,110.46
Distillation Column-12052,Distillation Column,874.68,148.47,477.58
Compressor-12053,Compressor,463.53,141.01,194.69
Distillation Column-12054,Distillation Column,625.63,72.11,79.08
Compressor-12055,Compressor,694.6,6.67,173.99
Distillation Column-12056,Distillation Column,956.45,12.96,275.17
Storage Tank-12057,Storage Tank,843.02,182.33,352.88
Compressor-12058,Compressor,331.07,145.72,438.36
Valve-12059,Valve,928.22,51.73,184.93
Heat Exchanger-12060,Heat Exchanger,714.59,44.29,113.85
Reactor-12061,Reactor,78.69,126.65,96.39
Storage Tank-12062,Storage Tank,695.83,168.45,302.24
Reactor-12063,Reactor,433.24,158.94,406.66
Distillation Column-12064,Distillation Column,769.23,13.41,419.48
Pump-12065,Pump,455.72,144.94,300.4
Storage Tank-12066,Storage Tank,966.26,37.08,89.98
Pump-12067,Pump,956.63,39.68,365.6
Storage Tank-12068,Storage Tank,612.34,40.59,197.27
Valve-12069,Valve,125.56,79.9,482.6
Heat Exchanger-12070,Heat Exchanger,382.0,156.28,365.95
Distillation Column-12071,Distillation Column,869.61,137.22,459.11
Pump-12072,Pump,535.73,12.2,403.7
Valve-12073,Valve,77.39,137.48,287.11
Valve-12074,Valve,351.54,113.99,252.36
Distillation Column-12075,Distillation Column,912.73,35.25,353.85
Compressor-12076,Compressor,136.74,10.52,314.53
Pump-12077,Pump,944.44,183.31,363.56
Reactor-12078,Reactor,400.94,46.17,364.88
Compressor-12079,Compressor,787.53,190.47,359.19
Compressor-12080,Compressor,465.66,183.02,233.18
Distillation Column-12081,Distillation Column,860.95,192.47,178.5
Storage Tank-12082,Storage Tank,770.83,84.39,323.06
Pump-12083,Pump,589.75,83.15,390.94
Distillation Column-12084,Distillation Column,134.29,12.92,21.57
Reactor-12085,Reactor,291.34,172.85,72.13
Distillation Column-12086,Distillation Column,304.29,9.79,299.81
Valve-12087,Valve,351.51,95.91,322.12
Valve-12088,Valve,740.56,184.72,206.69
Heat Exchanger-12089,Heat Exchanger,697.23,2.56,155.52
Valve-12090,Valve,633.19,171.68,285.81
Pump-12091,Pump,271.32,171.4,88.47
Compressor-12092,Compressor,823.8,105.78,312.85
Reactor-12093,Reactor,373.15,35.35,312.19
Reactor-12094,Reactor,761.54,186.13,278.39
Heat Exchanger-12095,Heat Exchanger,646.13,164.42,158.23
Compressor-12096,Compressor,880.83,144.9,362.22
Compressor-12097,Compressor,770.9,122.29,404.42
Heat Exchanger-12098,Heat Exchanger,992.82,124.91,46.38
Reactor-12099,Reactor,39.88,82.74,485.77
Storage Tank-12100,Storage Tank,508.53,71.17,237.09
Compressor-12101,Compressor,993.71,191.17,478.69
Heat Exchanger-12102,Heat Exchanger,734.6,142.28,68.71
Storage Tank-12103,Storage Tank,835.07,14.81,285.58
Distillation Column-12104,Distillation Column,533.29,156.17,390.72
Valve-12105,Valve,231.69,196.03,286.94
Distillation Column-12106,Distillation Column,941.33,119.92,190.64
Valve-12107,Valve,679.36,144.2,156.41
Pump-12108,Pump,404.06,59.22,233.94
Valve-12109,Valve,89.22,183.35,395.7
Heat Exchanger-12110,Heat Exchanger,783.0,20.71,380.47
Storage Tank-12111,Storage Tank,647.35,187.16,239.24
Pump-12112,Pump,412.77,132.98,282.66
Compressor-12113,Compressor,847.23,93.17,42.88
Storage Tank-12114,Storage Tank,973.53,15.0,303.3
Heat Exchanger-12115,Heat Exchanger,927.66,104.84,268.15
Distillation Column-12116,Distillation Column,809.91,19.65,32.89
Heat Exchanger-12117,Heat Exchanger,579.06,156.03,279.53
Pump-12118,Pump,672.47,183.53,48.12
Distillation Column-12119,Distillation Column,452.53,195.61,448.2
Reactor-12120,Reactor,672.0,104.89,222.63
Compressor-12121,Compressor,657.18,61.17,271.63
Distillation Column-12122,Distillation Column,892.41,78.5,337.47
Reactor-12123,Reactor,936.61,140.18,151.47
Reactor-12124,Reactor,309.21,68.48,114.68
Reactor-12125,Reactor,145.63,74.9,348.84
Reactor-12126,Reactor,740.72,27.07,199.75
Distillation Column-12127,Distillation Column,151.47,22.79,40.69
Pump-12128,Pump,591.12,180.8,371.45
Pump-12129,Pump,971.18,20.63,495.58
Distillation Column-12130,Distillation Column,667.65,179.95,347.22
Valve-12131,Valve,650.96,138.22,91.03
Compressor-12132,Compressor,602.48,173.8,184.97
Reactor-12133,Reactor,433.57,147.31,220.73
Heat Exchanger-12134,Heat Exchanger,294.28,146.13,479.46
Reactor-12135,Reactor,650.42,100.19,274.15
Valve-12136,Valve,330.88,61.04,349.01
Distillation Column-12137,Distillation Column,215.77,108.82,236.85
Pump-12138,Pump,235.62,20.47,421.87
Pump-12139,Pump,262.48,157.76,226.45
Pump-12140,Pump,903.38,114.28,406.85
Heat Exchanger-12141,Heat Exchanger,527.45,174.65,261.17
Reactor-12142,Reactor,221.39,194.21,269.0
Valve-12143,Valve,49.13,10.28,336.63
Valve-12144,Valve,183.84,63.56,325.92
Heat Exchanger-12145,Heat Exchanger,163.44,184.07,188.41
Compressor-12146,Compressor,287.93,109.79,250.57
Compressor-12147,Compressor,754.52,106.62,421.8
Valve-12148,Valve,508.93,193.44,255.22
Distillation Column-12149,Distillation Column,62.92,14.34,409.93
Distillation Column-12150,Distillation Column,111.66,30.08,291.62
Distillation Column-12151,Distillation Column,391.7,32.01,136.98
Valve-12152,Valve,521.11,183.11,482.84
Valve-12153,Valve,132.7,161.26,286.22
Distillation Column-12154,Distillation Column,576.77,31.43,469.31
Heat Exchanger-12155,Heat Exchanger,992.06,144.49,450.29
Storage Tank-12156,Storage Tank,126.21,103.19,243.67
Reactor-12157,Reactor,675.35,160.98,121.6
Reactor-12158,Reactor,831.98,116.01,226.65
Valve-12159,Valve,928.2,30.72,225.8
Reactor-12160,Reactor,580.45,94.55,491.76
Heat Exchanger-12161,Heat Exchanger,152.69,148.6,88.96
Heat Exchanger-12162,Heat Exchanger,718.81,2.38,486.68
Pump-12163,Pump,275.77,158.23,42.27
Compressor-12164,Compressor,7.99,101.18,153.34
Distillation Column-12165,Distillation Column,503.45,92.88,493.1
Reactor-12166,Reactor,484.9,166.21,114.76
Storage Tank-12167,Storage Tank,527.6,135.62,437.74
Reactor-12168,Reactor,856.67,116.5,37.85
Reactor-12169,Reactor,495.1,111.07,82.76
Compressor-12170,Compressor,936.39,150.15,354.11
Heat Exchanger-12171,Heat Exchanger,480.15,112.89,98.84
Compressor-12172,Compressor,530.98,161.75,255.24
Distillation Column-12173,Distillation Column,194.14,61.42,111.54
Heat Exchanger-12174,Heat Exchanger,430.77,87.33,54.82
Heat Exchanger-12175,Heat Exchanger,458.9,129.92,73.94
Heat Exchanger-12176,Heat Exchanger,407.07,41.55,233.22
Heat Exchanger-12177,Heat Exchanger,610.07,105.69,396.13
Valve-12178,Valve,892.19,51.73,187.53
Reactor-12179,Reactor,376.21,138.89,213.57
Compressor-12180,Compressor,262.61,101.74,75.54
Valve-12181,Valve,52.0,196.94,344.85
Compressor-12182,Compressor,720.25,77.28,152.35
Compressor-12183,Compressor,480.2,24.86,495.43
Compressor-12184,Compressor,452.46,166.74,253.19
Pump-12185,Pump,790.07,171.46,88.88
Heat Exchanger-12186,Heat Exchanger,579.25,42.65,497.71
Pump-12187,Pump,884.03,157.6,177.0
Valve-12188,Valve,685.82,115.22,150.23
Pump-12189,Pump,762.05,96.68,399.92
Distillation Column-12190,Distillation Column,547.23,164.68,39.29
Heat Exchanger-12191,Heat Exchanger,349.55,96.91,180.5
Valve-12192,Valve,50.9,161.69,184.93
Compressor-12193,Compressor,413.58,161.5,341.99
Storage Tank-12194,Storage Tank,538.99,78.37,400.7
Distillation Column-12195,Distillation Column,429.0,73.77,380.47
Heat Exchanger-12196,Heat Exchanger,455.55,140.26,204.86
Heat Exchanger-12197,Heat Exchanger,992.09,13.91,75.66
Heat Exchanger-12198,Heat Exchanger,572.45,102.81,479.36
Compressor-12199,Compressor,454.69,164.43,237.06
Heat Exchanger-12200,Heat Exchanger,643.86,75.75,152.05
Compressor-12201,Compressor,72.53,108.12,140.47
Heat Exchanger-12202,Heat Exchanger,25.86,50.38,374.61
Pump-12203,Pump,353.32,192.62,487.36
Pump-12204,Pump,843.23,93.98,380.49
Heat Exchanger-12205,Heat Exchanger,945.77,0.5,239.15
Distillation Column-12206,Distillation Column,839.05,180.99,149.68
Valve-12207,Valve,914.48,102.56,164.91
Heat Exchanger-12208,Heat Exchanger,214.92,186.27,362.3
Reactor-12209,Reactor,340.4,0.53,312.78
Heat Exchanger-12210,Heat Exchanger,430.09,156.23,73.0
Valve-12211,Valve,13.02,44.23,350.09
Pump-12212,Pump,777.96,178.13,495.41
Compressor-12213,Compressor,525.69,0.47,308.13
Reactor-12214,Reactor,576.37,118.03,213.18
Reactor-12215,Reactor,130.26,86.99,72.22
Storage Tank-12216,Storage Tank,94.1,111.7,313.1
Compressor-12217,Compressor,373.84,115.33,293.31
Valve-12218,Valve,115.96,27.38,473.89
Reactor-12219,Reactor,472.85,155.11,255.5
Reactor-12220,Reactor,53.41,172.97,358.01
Heat Exchanger-12221,Heat Exchanger,494.01,173.12,342.69
Reactor-12222,Reactor,761.65,12.07,373.16
Valve-12223,Valve,131.39,165.17,81.89
Compressor-12224,Compressor,997.04,123.45,343.57
Heat Exchanger-12225,Heat Exchanger,375.65,192.88,149.61
Distillation Column-12226,Distillation Column,459.65,68.87,341.09
Heat Exchanger-12227,Heat Exchanger,832.74,41.88,282.62
Heat Exchanger-12228,Heat Exchanger,123.29,25.17,487.07
Valve-12229,Valve,680.85,64.22,427.09
Pump-12230,Pump,541.12,123.95,432.95
Pump-12231,Pump,10.58,176.7,293.75
Pump-12232,Pump,204.24,78.29,445.95
Heat Exchanger-12233,Heat Exchanger,162.52,34.64,319.42
Reactor-12234,Reactor,362.03,175.82,326.57
Heat Exchanger-12235,Heat Exchanger,150.54,128.54,192.81
Compressor-12236,Compressor,195.14,123.12,488.57
Heat Exchanger-12237,Heat Exchanger,407.83,86.33,400.51
Heat Exchanger-12238,Heat Exchanger,341.58,72.02,115.33
Distillation Column-12239,Distillation Column,226.12,56.11,303.74
Pump-12240,Pump,168.77,48.36,325.09
Valve-12241,Valve,652.82,9.31,83.79
Reactor-12242,Reactor,386.26,103.04,79.89
Storage Tank-12243,Storage Tank,743.42,128.1,281.06
Valve-12244,Valve,957.09,136.96,453.12
Distillation Column-12245,Distillation Column,722.07,103.13,255.77
Compressor-12246,Compressor,875.26,59.92,80.09
Reactor-12247,Reactor,952.25,135.31,172.71
Heat Exchanger-12248,Heat Exchanger,596.97,144.91,389.83
Pump-12249,Pump,967.15,38.27,36.22
Heat Exchanger-12250,Heat Exchanger,687.25,78.51,71.97
Storage Tank-12251,Storage Tank,496.83,84.33,471.39
Storage Tank-12252,Storage Tank,775.86,56.13,494.18
Storage Tank-12253,Storage Tank,794.99,58.24,486.28
Valve-12254,Valve,431.4,30.11,493.73
Storage Tank-12255,Storage Tank,430.12,185.47,373.03
Compressor-12256,Compressor,478.4,31.39,337.35
Compressor-12257,Compressor,399.3,32.44,301.53
Valve-12258,Valve,831.08,90.21,307.52
Compressor-12259,Compressor,118.62,152.48,251.27
Valve-12260,Valve,525.41,64.11,177.4
Distillation Column-12261,Distillation Column,377.51,19.63,224.4
Valve-12262,Valve,226.4,133.34,467.6
Valve-12263,Valve,218.14,191.8,421.31
Distillation Column-12264,Distillation Column,710.63,142.63,68.82
Storage Tank-12265,Storage Tank,262.7,197.8,257.15
Storage Tank-12266,Storage Tank,481.47,156.12,292.66
Distillation Column-12267,Distillation Column,237.64,3.25,53.41
Valve-12268,Valve,172.72,152.59,331.86
Storage Tank-12269,Storage Tank,114.54,130.5,365.66
Compressor-12270,Compressor,400.65,41.38,496.52
Distillation Column-12271,Distillation Column,540.93,117.72,220.74
Compressor-12272,Compressor,207.54,126.19,332.73
Compressor-12273,Compressor,405.19,167.99,468.86
Pump-12274,Pump,507.72,122.95,118.35
Compressor-12275,Compressor,353.01,62.95,153.52
Heat Exchanger-12276,Heat Exchanger,488.44,19.81,237.48
Heat Exchanger-12277,Heat Exchanger,997.52,109.77,25.52
Valve-12278,Valve,692.26,172.63,235.74
Valve-12279,Valve,797.92,111.96,399.29
Compressor-12280,Compressor,75.89,4.94,431.64
Distillation Column-12281,Distillation Column,598.77,93.23,312.7
Distillation Column-12282,Distillation Column,716.35,69.39,185.97
Reactor-12283,Reactor,280.35,114.72,380.15
Storage Tank-12284,Storage Tank,481.39,185.97,423.28
Reactor-12285,Reactor,240.42,61.83,295.51
Reactor-12286,Reactor,689.7,183.75,54.25
Distillation Column-12287,Distillation Column,570.79,30.21,387.26
Heat Exchanger-12288,Heat Exchanger,783.49,141.71,319.82
Heat Exchanger-12289,Heat Exchanger,274.61,76.93,183.43
Valve-12290,Valve,737.18,74.9,272.7
Distillation Column-12291,Distillation Column,565.27,63.69,372.72
Pump-12292,Pump,907.94,51.0,318.03
Heat Exchanger-12293,Heat Exchanger,667.25,99.87,366.79
Reactor-12294,Reactor,720.38,57.66,78.55
Storage Tank-12295,Storage Tank,366.93,79.79,312.37
Storage Tank-12296,Storage Tank,777.56,26.39,244.52
Valve-12297,Valve,396.54,140.58,93.4
Pump-12298,Pump,934.61,130.18,160.08
Compressor-12299,Compressor,558.63,150.17,422.34
Compressor-12300,Compressor,840.78,186.81,240.49
Distillation Column-12301,Distillation Column,320.09,153.42,142.99
Compressor-12302,Compressor,219.29,32.44,113.22
Compressor-12303,Compressor,276.5,91.43,272.21
Reactor-12304,Reactor,270.59,158.45,254.62
Valve-12305,Valve,299.44,65.19,137.7
Distillation Column-12306,Distillation Column,449.58,46.96,184.39
Storage Tank-12307,Storage Tank,619.71,41.32,356.56
Reactor-12308,Reactor,719.63,54.86,314.8
Valve-12309,Valve,908.87,34.99,157.85
Distillation Column-12310,Distillation Column,787.53,28.27,441.78
Reactor-12311,Reactor,17.37,45.2,75.05
Heat Exchanger-12312,Heat Exchanger,982.13,68.79,374.82
Reactor-12313,Reactor,309.22,71.74,200.85
Valve-12314,Valve,272.0,81.42,123.28
Pump-12315,Pump,597.18,101.92,375.41
Compressor-12316,Compressor,452.38,46.07,87.65
Storage Tank-12317,Storage Tank,542.01,112.6,189.33
Compressor-12318,Compressor,607.8,154.4,380.21
Distillation Column-12319,Distillation Column,448.85,29.32,299.87
Pump-12320,Pump,885.19,113.74,165.78
Heat Exchanger-12321,Heat Exchanger,306.81,79.68,395.74
Compressor-12322,Compressor,467.05,65.81,24.07
Distillation Column-12323,Distillation Column,404.06,110.58,257.86
Valve-12324,Valve,465.53,137.5,153.24
Storage Tank-12325,Storage Tank,346.9,173.89,490.39
Valve-12326,Valve,882.94,42.83,223.53
Heat Exchanger-12327,Heat Exchanger,597.87,165.19,210.81
Distillation Column-12328,Distillation Column,451.71,54.78,253.61
Distillation Column-12329,Distillation Column,665.0,60.43,471.7
Storage Tank-12330,Storage Tank,384.14,135.34,222.57
Compressor-12331,Compressor,314.89,113.26,246.73
Reactor-12332,Reactor,803.16,74.39,350.44
Distillation Column-12333,Distillation Column,159.56,5.17,195.12
Distillation Column-12334,Distillation Column,383.77,105.22,324.09
Distillation Column-12335,Distillation Column,359.11,46.73,292.0
Compressor-12336,Compressor,315.9,155.33,339.1
Pump-12337,Pump,287.05,5.61,137.55
Distillation Column-12338,Distillation Column,171.49,170.22,490.04
Reactor-12339,Reactor,365.05,133.08,226.9
Valve-12340,Valve,199.8,183.54,464.68
Storage Tank-12341,Storage Tank,421.3,120.77,302.6
Heat Exchanger-12342,Heat Exchanger,821.89,103.43,480.65
Pump-12343,Pump,263.28,56.3,187.96
Storage Tank-12344,Storage Tank,353.37,124.15,94.77
Storage Tank-12345,Storage Tank,567.56,51.69,93.51
Distillation Column-12346,Distillation Column,297.44,129.91,75.67
Storage Tank-12347,Storage Tank,15.14,9.11,386.21
Heat Exchanger-12348,Heat Exchanger,301.44,30.26,300.5
Storage Tank-12349,Storage Tank,343.17,28.0,372.66
Valve-12350,Valve,660.23,124.68,197.79
Heat Exchanger-12351,Heat Exchanger,40.13,131.67,223.49
Storage Tank-12352,Storage Tank,331.55,187.93,305.08
Reactor-12353,Reactor,771.91,65.23,159.98
Compressor-12354,Compressor,339.77,77.45,35.8
Reactor-12355,Reactor,515.79,125.53,43.71
Compressor-12356,Compressor,872.99,41.53,308.1
Storage Tank-12357,Storage Tank,578.39,109.28,76.87
Storage Tank-12358,Storage Tank,883.7,78.81,204.18
Heat Exchanger-12359,Heat Exchanger,356.31,0.29,113.25
Heat Exchanger-12360,Heat Exchanger,254.6,74.49,163.34
Distillation Column-12361,Distillation Column,841.95,87.32,216.17
Heat Exchanger-12362,Heat Exchanger,741.67,50.78,483.04
Valve-12363,Valve,634.54,29.29,250.65
Distillation Column-12364,Distillation Column,470.7,11.07,67.47
Pump-12365,Pump,949.15,20.78,121.88
Valve-12366,Valve,502.11,178.62,67.54
Storage Tank-12367,Storage Tank,742.91,170.33,201.54
Pump-12368,Pump,471.4,154.75,237.46
Reactor-12369,Reactor,777.71,137.73,42.21
Distillation Column-12370,Distillation Column,539.52,199.87,434.1
Heat Exchanger-12371,Heat Exchanger,181.18,31.75,331.91
Storage Tank-12372,Storage Tank,495.96,83.32,465.23
Storage Tank-12373,Storage Tank,266.82,29.88,156.46
Valve-12374,Valve,531.98,61.16,323.55
Compressor-12375,Compressor,6.13,129.16,159.64
Reactor-12376,Reactor,120.18,38.68,26.85
Pump-12377,Pump,107.3,48.9,490.9
Reactor-12378,Reactor,846.81,19.23,490.44
Distillation Column-12379,Distillation Column,997.03,26.38,451.68
Storage Tank-12380,Storage Tank,428.37,40.83,354.62
Valve-12381,Valve,222.95,16.68,374.26
Storage Tank-12382,Storage Tank,720.61,13.73,322.29
Pump-12383,Pump,607.0,78.64,361.46
Storage Tank-12384,Storage Tank,252.67,3.21,421.35
Distillation Column-12385,Distillation Column,592.94,23.55,286.88
Distillation Column-12386,Distillation Column,52.61,18.44,175.11
Distillation Column-12387,Distillation Column,768.19,38.93,37.73
Distillation Column-12388,Distillation Column,630.3,49.16,72.75
Pump-12389,Pump,64.58,51.36,463.65
Reactor-12390,Reactor,743.68,144.04,491.73
Compressor-12391,Compressor,366.91,63.02,323.09
Valve-12392,Valve,176.83,68.75,338.68
Storage Tank-12393,Storage Tank,161.97,103.37,73.63
Pump-12394,Pump,880.65,96.55,303.63
Storage Tank-12395,Storage Tank,761.78,194.56,458.65
Reactor-12396,Reactor,671.45,108.16,464.69
Valve-12397,Valve,147.69,153.22,122.67
Reactor-12398,Reactor,947.35,138.96,363.46
Compressor-12399,Compressor,109.38,65.25,202.77
Storage Tank-12400,Storage Tank,712.31,154.98,393.69
Pump-12401,Pump,800.85,144.64,47.5
Valve-12402,Valve,684.42,48.29,435.55
Reactor-12403,Reactor,536.19,77.93,293.48
Heat Exchanger-12404,Heat Exchanger,85.96,173.41,353.76
Reactor-12405,Reactor,169.54,0.47,115.48
Distillation Column-12406,Distillation Column,424.89,174.87,405.4
Heat Exchanger-12407,Heat Exchanger,644.86,106.12,62.27
Reactor-12408,Reactor,305.94,47.86,198.6
Valve-12409,Valve,436.26,29.87,153.08
Distillation Column-12410,Distillation Column,242.8,129.6,309.45
Distillation Column-12411,Distillation Column,0.45,13.58,158.22
Valve-12412,Valve,964.22,52.37,125.04
Valve-12413,Valve,881.05,6.91,37.6
Reactor-12414,Reactor,218.22,171.84,454.32
Storage Tank-12415,Storage Tank,243.09,101.79,152.43
Distillation Column-12416,Distillation Column,42.09,100.91,430.49
Storage Tank-12417,Storage Tank,584.74,182.48,267.05
Heat Exchanger-12418,Heat Exchanger,666.28,144.34,264.5
Reactor-12419,Reactor,44.67,63.09,201.69
Valve-12420,Valve,770.61,46.98,387.16
Pump-12421,Pump,371.66,93.57,265.0
Reactor-12422,Reactor,305.72,110.07,178.29
Valve-12423,Valve,197.9,185.13,197.29
Reactor-12424,Reactor,78.2,184.93,384.55
Distillation Column-12425,Distillation Column,673.67,165.41,499.36
Storage Tank-12426,Storage Tank,422.21,64.32,123.98
Heat Exchanger-12427,Heat Exchanger,848.57,69.94,444.97
Valve-12428,Valve,885.24,57.46,172.2
Reactor-12429,Reactor,960.33,149.85,468.45
Valve-12430,Valve,273.23,160.43,383.79
Valve-12431,Valve,420.22,10.79,240.04
Heat Exchanger-12432,Heat Exchanger,368.7,81.38,476.78
Distillation Column-12433,Distillation Column,79.72,112.03,96.7
Valve-12434,Valve,947.88,37.34,332.14
Pump-12435,Pump,272.38,85.2,69.43
Compressor-12436,Compressor,459.86,153.87,470.41
Reactor-12437,Reactor,961.59,21.42,107.53
Pump-12438,Pump,390.19,130.71,309.28
Compressor-12439,Compressor,377.9,191.94,327.0
Heat Exchanger-12440,Heat Exchanger,756.22,51.43,150.41
Valve-12441,Valve,290.06,143.37,263.85
Heat Exchanger-12442,Heat Exchanger,369.16,158.59,51.1
Storage Tank-12443,Storage Tank,671.73,120.88,52.41
Compressor-12444,Compressor,832.19,68.4,179.81
Heat Exchanger-12445,Heat Exchanger,184.52,138.96,258.61
Reactor-12446,Reactor,269.4,103.77,160.05
Heat Exchanger-12447,Heat Exchanger,406.2,120.66,415.44
Distillation Column-12448,Distillation Column,992.92,56.18,257.37
Storage Tank-12449,Storage Tank,942.62,169.62,43.36
Compressor-12450,Compressor,178.02,26.61,324.91
Reactor-12451,Reactor,829.15,21.14,28.81
Heat Exchanger-12452,Heat Exchanger,715.15,38.82,258.65
Compressor-12453,Compressor,806.06,42.14,468.34
Heat Exchanger-12454,Heat Exchanger,246.11,168.62,382.75
Reactor-12455,Reactor,497.01,58.17,51.65
Reactor-12456,Reactor,160.61,37.99,426.7
Storage Tank-12457,Storage Tank,113.32,72.41,411.59
Heat Exchanger-12458,Heat Exchanger,473.17,192.59,352.19
Storage Tank-12459,Storage Tank,782.66,196.2,355.45
Distillation Column-12460,Distillation Column,94.3,58.83,428.5
Heat Exchanger-12461,Heat Exchanger,44.03,2.75,138.51
Storage Tank-12462,Storage Tank,387.85,98.62,414.82
Distillation Column-12463,Distillation Column,778.48,166.51,412.83
Reactor-12464,Reactor,848.38,35.11,114.34
Pump-12465,Pump,212.65,42.15,393.55
Compressor-12466,Compressor,5.25,178.98,20.29
Distillation Column-12467,Distillation Column,795.82,68.92,411.12
Heat Exchanger-12468,Heat Exchanger,879.64,127.65,307.03
Storage Tank-12469,Storage Tank,929.72,72.13,239.3
Valve-12470,Valve,249.79,133.32,127.04
Compressor-12471,Compressor,910.85,46.67,357.15
Valve-12472,Valve,344.58,134.47,279.49
Distillation Column-12473,Distillation Column,495.74,134.4,94.19
Pump-12474,Pump,839.98,149.7,363.72
Reactor-12475,Reactor,206.81,163.83,296.35
Compressor-12476,Compressor,13.2,25.22,245.07
Pump-12477,Pump,339.99,150.01,445.39
Valve-12478,Valve,667.89,138.6,231.32
Storage Tank-12479,Storage Tank,743.84,74.34,34.13
Reactor-12480,Reactor,4.63,27.16,186.41
Heat Exchanger-12481,Heat Exchanger,883.83,15.78,101.72
Compressor-12482,Compressor,299.25,1.13,105.48
Reactor-12483,Reactor,372.94,144.04,110.63
Compressor-12484,Compressor,107.32,186.52,226.05
Pump-12485,Pump,653.79,65.18,41.24
Distillation Column-12486,Distillation Column,518.29,17.78,132.55
Pump-12487,Pump,518.23,114.75,379.8
Compressor-12488,Compressor,841.15,64.34,200.11
Compressor-12489,Compressor,656.82,163.33,296.36
Heat Exchanger-12490,Heat Exchanger,276.82,103.26,314.59
Valve-12491,Valve,37.25,144.97,264.48
Storage Tank-12492,Storage Tank,578.16,64.85,228.0
Distillation Column-12493,Distillation Column,72.19,142.69,407.83
Reactor-12494,Reactor,572.19,67.32,110.61
Reactor-12495,Reactor,129.84,146.01,136.53
Valve-12496,Valve,481.22,134.96,454.58
Heat Exchanger-12497,Heat Exchanger,710.7,117.03,228.01
Compressor-12498,Compressor,961.4,141.41,212.11
Pump-12499,Pump,801.82,29.16,328.26
Storage Tank-12500,Storage Tank,745.03,88.49,392.53
Compressor-12501,Compressor,801.58,178.81,221.96
Compressor-12502,Compressor,635.65,128.62,477.91
Storage Tank-12503,Storage Tank,47.96,149.08,485.4
